Ref,Val,Package,PosX,PosY,Rot,Side
"C1","","C0603",58.000000,-34.500000,0.000000,top
"C2","","C0805",51.200000,-24.000000,-90.000000,top
"C3","","C0805",48.500000,-34.500000,0.000000,top
"C4","","C0805",53.500000,-34.500000,0.000000,top
"C5","","C0603",46.000000,-27.200000,0.000000,top
"C6","","CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD",50.000000,-57.240000,0.000000,top
"C7","","C0805",40.500000,-62.000000,0.000000,top
"C8","","C0805",44.000000,-34.500000,0.000000,top
"C9","","C0603",42.300000,-20.300000,-90.000000,top
"C10","","C0603",39.890000,-54.000000,90.000000,top
"D1","","LED0603-RD",55.000000,-21.000000,0.000000,top
"D2","","SOD-123_L2.7-W1.6-LS3.7-RD-1",31.300000,-6.400000,0.000000,top
"J1","","CONN-TH_3P-P2.50_A2501WV2-3P",11.000000,-66.500000,0.000000,top
"J2","","CONN-TH_XH2.54-4AW",30.000000,-68.000000,180.000000,top
"J3","","DC-IN-TH_DC-005C-20A",56.000000,-13.000000,0.000000,top
"J4","","HDR-TH_8P-P2.54-V-F",31.000000,-57.240000,0.000000,top
"J5","","HDR-TH_8P-P2.54-V-F",31.000000,-44.540000,0.000000,top
"J6","","HDR-TH_7P-P2.54-V-F",12.000000,-16.000000,-90.000000,top
"J7","","HDR-TH_7P-P2.54-V-F",27.240000,-16.000000,-90.000000,top
"L1","","IND-SMD_L5.0-W5.0",53.500000,-29.500000,0.000000,top
"Q1","","SOT-23_L2.9-W1.3-P1.90-LS2.4-BR",42.000000,-10.500000,0.000000,top
"R1","","R0603",38.800000,-20.000000,0.000000,top
"R3","","R0603",44.650000,-20.300000,-90.000000,top
"R4","","R0603",47.350000,-21.050000,0.000000,top
"R5","","R0603",37.500000,-8.000000,0.000000,top
"R6","","R0603",37.500000,-12.600000,0.000000,top
"R7","","R0603",55.000000,-18.000000,0.000000,top
"R8","","R0603",19.000000,-30.000000,0.000000,top
"R9","","R0603",16.500000,-62.500000,0.000000,top
"U1","","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR",46.000000,-24.000000,0.000000,top
